TradeID,OrderID,OrderType,Signal,Date,Time,Price,Quantity,Profit,ProfitPct,CumulativeProfit,CumulativeProfitPct,MaxPotentialProfit,MaxPotentialProfitPct,MaxPotentialLoss,MaxPotentialLossPct
95,189,Enter Long,LE_NOR,2004/8/20,08:55:00 AM,5542,1,37600,3.392277156,1279500,1279.5,66100,5.963551065,-3700,-0.333814507
,190,Exit Long,LX_Dn,2004/9/6,09:25:00 AM,5735,1,,,,,,,,
96,191,Enter Long,LE_NOR,2004/9/15,08:55:00 AM,5923,3,-74400,-2.093533682,1205100,1205.1,4500,0.126625021,-72900,-2.051325342
,192,Exit Long,LX_S,2004/9/17,10:15:00 AM,5804,3,,,,,,,,
97,193,Enter Long,LE_NOR,2004/9/20,10:15:00 AM,5855,1,38000,3.245089667,1243100,1243.1,41500,3.543979505,-6500,-0.555081127
,194,Exit Long,LX_3,2004/10/4,09:05:00 AM,6050,1,,,,,,,,
98,195,Enter Long,LE_NOR,2004/9/20,10:15:00 AM,5855,1,46500,3.970964987,1289600,1289.6,46500,3.970964987,-6500,-0.555081127
,196,Exit Long,LX_P,2004/10/4,12:05:00 PM,6090,1,,,,,,,,
99,197,Enter Long,LE_NOR,2004/9/20,10:15:00 AM,5855,1,39200,3.347566183,1328800,1328.8,64500,5.508112724,-6500,-0.555081127
,198,Exit Long,LX_Dn,2004/10/12,11:55:00 AM,6056,1,,,,,,,,
100,199,Enter Long,LE_NOR,2004/11/4,12:25:00 PM,5862,1,41600,3.548277039,1370400,1370.4,44900,3.829750938,-7900,-0.673831457
,200,Exit Long,LX_3,2004/11/18,09:05:00 AM,6075,1,,,,,,,,
101,201,Enter Long,LE_NOR,2004/11/4,12:25:00 PM,5862,1,46500,3.966223132,1416900,1416.9,46500,3.966223132,-7900,-0.673831457
,202,Exit Long,LX_P,2004/11/18,09:15:00 AM,6097,1,,,,,,,,
102,203,Enter Long,LE_NOR,2004/11/4,12:25:00 PM,5862,1,-3400,-0.290003412,1413500,1413.5,48500,4.136813374,-7900,-0.673831457
,204,Exit Long,LX_Dn,2004/11/22,12:55:00 PM,5850,1,,,,,,,,
103,205,Enter Long,LE_NOR,2004/11/24,10:05:00 AM,5898,3,-16200,-0.457782299,1397300,1397.3,13500,0.381485249,-23700,-0.669718549
,206,Exit Long,LX,2004/11/25,10:55:00 AM,5876,3,,,,,,,,
104,207,Enter Long,LE_NOR,2004/12/6,08:55:00 AM,5835,3,16200,0.462724936,1413500,1413.5,42900,1.225364182,-4500,-0.128534704
,208,Exit Long,LX,2004/12/8,09:55:00 AM,5867,3,,,,,,,,
105,209,Enter Long,LE_NOR,2004/12/8,12:05:00 PM,5887,3,-13200,-0.373704773,1400300,1400.3,10500,0.297265161,-15900,-0.450144386
,210,Exit Long,LX,2004/12/10,12:15:00 PM,5870,3,,,,,,,,
106,211,Enter Long,LE_NOR,2004/12/14,01:25:00 PM,5900,1,9200,0.779661017,1409500,1409.5,10700,0.906779661,-1900,-0.161016949
,212,Exit Long,LX_3,2004/12/15,09:05:00 AM,5951,1,,,,,,,,
107,213,Enter Long,LE_NOR,2004/12/14,01:25:00 PM,5900,2,40600,1.720338983,1450100,1450.1,66600,2.822033898,-3800,-0.161016949
,214,Exit Long,LX_2,2004/12/23,01:45:00 PM,6004,2,,,,,,,,
108,215,Enter Long,LE_NON,2005/1/31,11:45:00 AM,5959,2,99400,4.170162779,1549500,1549.5,99400,4.170162779,-1800,-0.075516026
,216,Exit Long,LX_P,2005/2/14,08:55:00 AM,6210,2,,,,,,,,
109,217,Enter Long,LE_NON,2005/1/31,11:45:00 AM,5959,1,23000,1.929854002,1572500,1572.5,59500,4.992448397,-900,-0.075516026
,218,Exit Long,LX,2005/3/15,11:55:00 AM,6079,1,,,,,,,,
110,219,Enter Short,SE_NON2,2005/3/16,08:55:00 AM,6059,2,20000,0.825218683,1592500,1592.5,35800,1.477141442,-12600,-0.51988777
,220,Exit Short,SX_K,2005/3/23,12:55:00 PM,6004,2,,,,,,,,
111,221,Enter Short,SE_NON2,2005/3/16,08:55:00 AM,6059,1,49000,4.043571546,1641500,1641.5,51900,4.282884965,-6300,-0.51988777
,222,Exit Short,SX_P,2005/4/18,09:15:00 AM,5809,1,,,,,,,,
112,223,Enter Long,LE_NON,2005/5/6,08:55:00 AM,5910,3,20700,0.583756345,1662200,1662.2,23100,0.65143824,-10500,-0.296108291
,224,Exit Long,LX_2,2005/5/9,01:45:00 PM,5947,3,,,,,,,,
113,225,Enter Long,LE_NON,2005/5/10,08:55:00 AM,5949,3,-47400,-1.327954278,1614800,1614.8,38100,1.067406287,-51900,-1.454025887
,226,Exit Long,LX,2005/5/17,01:15:00 PM,5875,3,,,,,,,,
114,227,Enter Short,SE_NON2,2005/5/26,08:55:00 AM,5861,3,-45000,-1.279645112,1569800,1569.8,9900,0.281521925,-52500,-1.492919297
